id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
1077430,GA,INDIVIDUAL,< 1 year,Ryder,C,RENT,2021-02-11,2021-09-13,2021-04-13,Charged Off,2021-05-13,1314167,Car,C4,60 months,Source Verified,30000.00,0.0100,59.83,0.1527,2500.00,4,1009.00
1072053,CA,INDIVIDUAL,9 years,MKC Accounting,E,RENT,2021-01-01,2021-12-14,2021-01-15,Fully Paid,2021-02-15,1288686,Car,E1,36 months,Source Verified,48000.00,0.0535,109.43,0.1864,3000.00,4,3939.00
1069243,CA,INDIVIDUAL,4 years,Chemat Technology Inc,C,RENT,2021-01-05,2021-12-12,2021-01-09,Charged Off,2021-02-09,1304116,Car,C5,36 months,Not Verified,50000.00,0.2088,421.65,0.1596,12000.00,11,3522.00
1041756,TX,INDIVIDUAL,< 1 year,barnes distribution,B,MORTGAGE,2021-02-25,2021-12-12,2021-03-12,Fully Paid,2021-04-12,1272024,Car,B2,60 months,Source Verified,42000.00,0.0540,97.06,0.1065,4500.00,9,4911.00
1068350,IL,INDIVIDUAL,10+ years,J&J Steel Inc,A,MORTGAGE,2021-01-01,2021-12-14,2021-01-15,Fully Paid,2021-02-15,1302971,Car,A1,36 months,Verified,83000.00,0.0231,106.53,0.0603,3500.00,28,3835.00
1062608,CA,INDIVIDUAL,3 years,Studio 94 Corp,C,RENT,2021-07-17,2021-03-16,2021-08-12,Fully Paid,2021-09-12,1294481,Car,C3,36 months,Not Verified,28000.00,0.1260,275.96,0.1465,8000.00,11,8637.00
1067441,TX,INDIVIDUAL,10+ years,American Airlines,C,MORTGAGE,2021-11-19,2021-06-14,2021-12-13,Fully Paid,2022-01-13,1301833,Car,C2,36 months,Verified,94800.00,0.2453,205.86,0.1427,6000.00,30,7218.00
1066424,PA,INDIVIDUAL,10+ years,SCI Mahanoy,A,OWN,2021-06-11,2021-07-14,2021-07-14,Fully Paid,2021-08-14,1291243,Car,A4,36 months,Source Verified,59000.00,0.0665,172.10,0.0790,5500.00,23,6172.00
1065254,FL,INDIVIDUAL,10+ years,Tech Data Corp,A,MORTGAGE,2021-09-02,2021-06-15,2021-10-12,Charged Off,2021-11-12,1299335,Car,A5,36 months,Verified,116400.00,0.0394,762.08,0.0890,24000.00,31,8650.00
1064589,MI,INDIVIDUAL,10+ years,teltow contracting,B,MORTGAGE,2021-02-09,2021-03-16,2021-03-16,Fully Paid,2021-04-16,1298401,Car,B5,60 months,Not Verified,36000.00,0.1773,93.21,0.1269,4125.00,21,5551.00
1057766,TX,INDIVIDUAL,10+ years,Ericsson,B,MORTGAGE,2021-07-22,2021-09-13,2021-08-13,Fully Paid,2021-09-13,1289131,Car,B5,36 months,Not Verified,75000.00,0.0880,181.15,0.1269,5400.00,33,6277.00
1062734,CA,INDIVIDUAL,3 years,myrvpartsplace.com,B,RENT,2021-09-11,2021-03-13,2021-10-12,Charged Off,2021-11-12,1295018,Car,B4,36 months,Not Verified,75000.00,0.2288,374.26,0.1242,11200.00,13,4225.00
1062654,CA,INDIVIDUAL,4 years,AEG LIVE,B,RENT,2021-08-11,2021-10-13,2021-09-13,Fully Paid,2021-10-13,1294929,Car,B3,36 months,Not Verified,35000.00,0.0401,165.38,0.1171,5000.00,3,5728.00
1020855,CA,INDIVIDUAL,5 years,henkel corporation,B,RENT,2021-12-11,2021-12-14,2021-12-14,Fully Paid,2022-01-14,1249642,Car,B5,36 months,Not Verified,48000.00,0.1533,268.36,0.1269,8000.00,15,9661.00
1060945,IL,INDIVIDUAL,4 years,AXA Assistance,B,RENT,2021-10-11,2021-12-14,2021-12-14,Fully Paid,2022-01-14,1293124,Car,B4,36 months,Not Verified,92000.00,0.1060,200.50,0.1242,6000.00,18,7218.00
1060995,RI,INDIVIDUAL,< 1 year,HSA-UWC,B,RENT,2021-12-11,2021-02-14,2021-10-13,Charged Off,2021-11-13,1292578,Car,B4,36 months,Source Verified,60000.00,0.0630,400.99,0.1242,12000.00,14,9547.00
1046507,TX,INDIVIDUAL,1 year,Child's Day,B,RENT,2021-12-02,2021-04-16,2021-12-14,Fully Paid,2022-01-14,1277552,Car,B1,36 months,Verified,16800.00,0.0350,98.29,0.0991,3050.00,8,3538.00
1059936,NY,INDIVIDUAL,4 years,OEC Freight,C,RENT,2021-10-09,2021-09-15,2021-11-12,Fully Paid,2021-12-12,1291775,Car,C2,36 months,Source Verified,40000.00,0.1869,343.09,0.1427,10000.00,7,11156.00
1059497,FL,INDIVIDUAL,10+ years,Sandestin Beach Hilton,B,MORTGAGE,2021-12-12,2021-12-14,2021-12-14,Fully Paid,2022-01-14,1291322,Car,B2,36 months,Verified,35000.00,0.1392,162.87,0.1065,5000.00,23,5863.00
1058060,MD,INDIVIDUAL,10+ years,Unspecified,D,OWN,2021-02-02,2021-05-16,2021-02-15,Fully Paid,2021-03-15,1289636,Car,D1,36 months,Not Verified,40000.00,0.0957,176.51,0.1629,5000.00,13,6361.00
112245,WI,INDIVIDUAL,6 years,Norman G. Olson Insurance,A,RENT,2021-07-07,2021-04-16,2021-08-10,Fully Paid,2021-09-10,112227,Car,A2,36 months,Not Verified,40000.00,0.0255,155.38,0.0743,5000.00,7,5594.00
207910,FL,INDIVIDUAL,< 1 year,Unspecified,A,MORTGAGE,2021-01-08,2021-05-16,2021-02-10,Charged Off,2021-03-10,183496,Car,A2,36 months,Not Verified,120000.00,0.0767,69.14,0.0743,2225.00,20,2508.00
65426,MI,INDIVIDUAL,< 1 year,"Infotrieve, Inc.",B,MORTGAGE,2021-08-09,2021-05-16,2021-06-11,Charged Off,2021-07-11,232106,Car,B1,36 months,Not Verified,60000.00,0.1108,131.22,0.1114,4000.00,33,2755.00
211723,MD,INDIVIDUAL,4 years,self employed,C,OWN,2021-01-08,2021-09-12,2021-08-08,Charged Off,2021-09-08,211606,Car,C2,36 months,Not Verified,72000.00,0.0512,262.26,0.1109,8000.00,8,2135.00
662350,NV,INDIVIDUAL,10+ years,Clark County School District,A,MORTGAGE,2021-01-11,2021-02-13,2021-08-12,Charged Off,2021-09-12,847024,Car,A5,36 months,Not Verified,70800.00,0.0795,77.95,0.0766,2500.00,39,1479.00
1006769,PA,INDIVIDUAL,6 years,The Mount Sinai School of Medicine,A,MORTGAGE,2021-11-11,2021-11-13,2021-06-13,Charged Off,2021-07-13,1233120,Car,A3,36 months,Not Verified,80000.00,0.0648,124.45,0.0751,4000.00,11,2479.00
405898,GA,INDIVIDUAL,< 1 year,Blue Ridge Design Group,A,MORTGAGE,2021-06-09,2021-05-16,2021-12-09,Charged Off,2022-01-09,454145,Car,A5,36 months,Not Verified,36000.00,0.1500,385.14,0.0963,12000.00,24,2306.00
445846,MI,INDIVIDUAL,10+ years,Abbott Nutrition,A,MORTGAGE,2021-10-09,2021-05-16,2021-02-12,Charged Off,2021-03-12,544784,Car,A5,36 months,Not Verified,45000.00,0.1520,222.41,0.0894,7000.00,24,6446.00
